arrangement,condition,pa_index,pa_type,distance_category,row,column
1,schema_c,1,schema_pa,,2,3
1,schema_c,2,schema_pa,,10,3
1,schema_c,3,schema_pa,near,7,4
1,schema_c,4,schema_pa,near,3,6
1,schema_c,5,schema_pa,,8,11
1,schema_c,6,schema_pa,,11,10
1,schema_c,1,new_pa,near,7,5
1,schema_c,2,new_pa,near,4,6
1,schema_c,3,new_pa,far,9,7
1,schema_c,4,new_pa,far,6,8
1,schema_c,5,new_pa,,5,2
1,schema_c,6,new_pa,,3,9
1,schema_ic,1,schema_pa,near,7,4
1,schema_ic,2,schema_pa,,8,11
1,schema_ic,3,schema_pa,,11,10
1,schema_ic,4,schema_pa,,10,3
1,schema_ic,5,schema_pa,,2,3
1,schema_ic,6,schema_pa,near,3,6
1,random_loc,1,schema_pa,,11,5
1,random_loc,2,schema_pa,,2,10
1,random_loc,3,schema_pa,,10,11
1,random_loc,4,schema_pa,,6,11
1,random_loc,5,schema_pa,,4,4
1,random_loc,6,schema_pa,,8,2
2,schema_c,1,schema_pa,,2,3
2,schema_c,2,schema_pa,,10,3
2,schema_c,3,schema_pa,near,7,4
2,schema_c,4,schema_pa,near,3,6
2,schema_c,5,schema_pa,,8,11
2,schema_c,6,schema_pa,,11,10
2,schema_c,1,new_pa,near,7,5
2,schema_c,2,new_pa,near,4,6
2,schema_c,3,new_pa,far,9,7
2,schema_c,4,new_pa,far,6,8
2,schema_c,5,new_pa,,5,2
2,schema_c,6,new_pa,,3,9
2,schema_ic,1,schema_pa,near,7,4
2,schema_ic,2,schema_pa,,8,11
2,schema_ic,3,schema_pa,,11,10
2,schema_ic,4,schema_pa,,10,3
2,schema_ic,5,schema_pa,,2,3
2,schema_ic,6,schema_pa,near,3,6
2,random_loc,1,schema_pa,,11,5
2,random_loc,2,schema_pa,,2,10
2,random_loc,3,schema_pa,,10,11
2,random_loc,4,schema_pa,,6,11
2,random_loc,5,schema_pa,,4,4
2,random_loc,6,schema_pa,,8,2
3,schema_c,1,schema_pa,,2,3
3,schema_c,2,schema_pa,,10,3
3,schema_c,3,schema_pa,near,7,4
3,schema_c,4,schema_pa,near,3,6
3,schema_c,5,schema_pa,,8,11
3,schema_c,6,schema_pa,,11,10
3,schema_c,1,new_pa,near,7,5
3,schema_c,2,new_pa,near,4,6
3,schema_c,3,new_pa,far,9,7
3,schema_c,4,new_pa,far,6,8
3,schema_c,5,new_pa,,5,2
3,schema_c,6,new_pa,,3,9
3,schema_ic,1,schema_pa,near,7,4
3,schema_ic,2,schema_pa,,8,11
3,schema_ic,3,schema_pa,,11,10
3,schema_ic,4,schema_pa,,10,3
3,schema_ic,5,schema_pa,,2,3
3,schema_ic,6,schema_pa,near,3,6
3,random_loc,1,schema_pa,,11,5
3,random_loc,2,schema_pa,,2,10
3,random_loc,3,schema_pa,,10,11
3,random_loc,4,schema_pa,,6,11
3,random_loc,5,schema_pa,,4,4
3,random_loc,6,schema_pa,,8,2
6,schema_c,1,schema_pa,,5,2
6,schema_c,2,schema_pa,,10,5
6,schema_c,3,schema_pa,,7,6
6,schema_c,4,schema_pa,,3,8
6,schema_c,5,schema_pa,,11,10
6,schema_c,6,schema_pa,near,4,11
6,schema_c,1,new_pa,,9,3
6,schema_c,2,new_pa,,2,5
6,schema_c,3,new_pa,near,4,10
7,schema_c,1,schema_pa,,4,2
7,schema_c,2,schema_pa,,11,3
7,schema_c,3,schema_pa,,9,6
7,schema_c,4,schema_pa,near,5,7
7,schema_c,5,schema_pa,,3,8
7,schema_c,6,schema_pa,near,8,10
7,schema_c,1,new_pa,,8,3
7,schema_c,2,new_pa,near,5,6
7,schema_c,3,new_pa,near,9,10
